"","Crop","Plot","Range","Unique.ID","Lentil","Wheat","Rep_gen","Facet","Combo","Rep_combo","Type","Col","Row","Block","BlockRow","BlockCol","Name","ENV","Planting.Date..date.","HD","HT","MAT","LD","YLD","Y.ADJ","TWT","KWT","PRO","Notes"
"83","Wheat",2197,24,"2197-CW1","CL1","CW1",81,"CW1","CL1-CW1",2,"Check",24,43,29,4,4,"AAC Schrader","Hunter2025","16-May-25",56,100,105,1,2496,6813,78.2,46.7,15.6,""
"84","Wheat",2521,1,"2521-CW1","CL1","CW1",82,"CW1","CL1-CW1",2,"Check",1,54,31,6,1,"AAC Schrader","Hunter2025","16-May-25",56,83,107,1,1583,4323,78,51.8,15.6,""
"85","Wheat",2750,11,"2750-CW1","CL3","CW1",83,"CW1","CL3-CW1",2,"Check",11,62,39,4,1,"AAC Schrader","Hunter2025","16-May-25",56,83,105,1,2134,5827,78.5,50.5,15.6,""
"86","Wheat",4389,29,"4389-CW1","CL2","CW1",3,"CW1","CL2-CW1",2,"Check",29,42,30,3,4,"AAC Schrader","Clavet2025","8-May-25",61,94,110,1,2466,6732,80.3,49.4,15.6,""
"87","Wheat",1134,14,"1134-CW1","CL2","CW1",84,"CW1","CL2-CW1",1,"Check",14,6,3,5,4,"AAC Schrader","Hunter2025","16-May-25",59,105,107,1,2961,8085,79.2,50.3,15.7,""
"88","Wheat",1445,25,"1445-CW1","CL3","CW1",85,"CW1","CL3-CW1",1,"Check",25,16,11,6,5,"AAC Schrader","Hunter2025","16-May-25",57,94,106,1,2611,7128,78.8,51.8,15.7,""
"89","Wheat",1999,22,"1999-CW1","CL2","CW1",86,"CW1","CL2-CW1",1,"Check",22,36,23,7,2,"AAC Schrader","Hunter2025","16-May-25",57,80,107,1,2287,6243,79.2,51.8,15.7,""
"90","Wheat",2407,7,"2407-CW1","CL1","CW1",87,"CW1","CL1-CW1",2,"Check",7,50,32,2,2,"AAC Schrader","Hunter2025","16-May-25",57,90,105,1,2176,5940,78.4,51,15.7,""
"91","Wheat",2420,20,"2420-CW1","CL3","CW1",88,"CW1","CL3-CW1",2,"Check",20,50,34,2,5,"AAC Schrader","Hunter2025","16-May-25",56,76,105,1,1784,4871,78,51.6,15.7,""
"92","Wheat",3034,27,"3034-CW1","CL1","CW1",89,"CW1","CL1-CW1",2,"Check",27,72,48,5,2,"AAC Schrader","Hunter2025","16-May-25",56,87,104,1,2225,6076,78.3,49.5,15.7,""
"93","Wheat",3347,27,"3347-CW1","CL2","CW1",4,"CW1","CL2-CW1",1,"Check",27,6,6,5,2,"AAC Schrader","Clavet2025","8-May-25",60,103,107,1,2448,6683,79.7,50.4,15.7,""
"94","Wheat",4805,25,"4805-CW1","CL2","CW1",5,"CW1","CL2-CW1",2,"Check",25,56,35,8,5,"AAC Schrader","Clavet2025","8-May-25",61,87,108,1,2379,6495,79.2,48,15.7,""
"95","Wheat",1133,13,"1133-CW1","CL1","CW1",90,"CW1","CL1-CW1",1,"Check",13,6,3,5,3,"AAC Schrader","Hunter2025","16-May-25",58,102,107,1,2549,6959,78.9,52.1,15.8,""
"96","Wheat",1897,4,"1897-CW1","CL3","CW1",91,"CW1","CL3-CW1",1,"Check",4,32,19,3,4,"AAC Schrader","Hunter2025","16-May-25",56,84,104,1,2335,6374,78,52.9,15.8,""
"97","Wheat",1924,24,"1924-CW1","CL3","CW1",92,"CW1","CL3-CW1",1,"Check",24,33,23,4,4,"AAC Schrader","Hunter2025","16-May-25",56,84,105,1,2269,6196,78.3,52.6,15.8,""
"98","Wheat",2930,11,"2930-CW1","CL1","CW1",93,"CW1","CL1-CW1",2,"Check",11,68,45,1,1,"AAC Schrader","Hunter2025","16-May-25",57,86,103,1,2268,6191,78.2,48.3,15.8,""
"99","Wheat",3688,8,"3688-CW1","CL3","CW1",6,"CW1","CL3-CW1",1,"Check",8,18,8,8,3,"AAC Schrader","Clavet2025","8-May-25",59,101,110,3,3031,8275,80.8,52.1,15.8,""
